round,client,labeled_count,ve_median,bal_acc_rest,f1_macro_rest,auc_ovr_rest,pseudo_acc_meta,orig_train_n,aug_train_n,committee_local,committee_global
1,RSNA,300,-5.107025913275721e-15,0.368096611677293,0.32223921802872824,0.7147875845907183,0.18,200,100,300,
1,MENDELEY,300,-5.107025913275721e-15,0.5501467629684668,0.5644569918590576,0.8679066539580814,0.35,200,100,300,
2,RSNA,400,-5.107025913275721e-15,0.4235593417281488,0.40243367843332284,0.7567825841451332,0.24,300,100,300,
2,MENDELEY,400,-5.107025913275721e-15,0.5266196996463519,0.552948312934052,0.8746927237774054,0.28,300,100,300,
3,RSNA,500,-5.107025913275721e-15,0.4550493905330216,0.42727612893489975,0.7810711336317084,0.19,400,100,300,
3,MENDELEY,500,-5.107025913275721e-15,0.5424181695886452,0.564663236657846,0.8882052001023535,0.3,400,100,300,
4,RSNA,600,-5.107025913275721e-15,0.47524783247035396,0.45498267156560573,0.7956576417638304,0.2,500,100,300,
4,MENDELEY,600,-5.107025913275721e-15,0.5012028226688285,0.5153470453672524,0.8862674440203925,0.22,500,100,300,
5,RSNA,700,-5.107025913275721e-15,0.501937159225131,0.4823985409053379,0.811782170712743,0.2,600,100,300,
5,MENDELEY,700,-5.107025913275721e-15,0.487248911681346,0.4928387710008164,0.8830400410667496,0.29,600,100,300,
